Subject,Date,Session,Trial,Condition
Paul,Oct 7 '22,2,1,Refresher
Paul,Oct 7 '22,2,2,Refresher
Paul,Oct 7 '22,2,3,Refresher
Paul,Oct 7 '22,2,4,Functional
Paul,Oct 7 '22,2,5,Non-functional
Paul,Oct 7 '22,3,1,Refresher
Paul,Oct 7 '22,3,2,Refresher
Paul,Oct 7 '22,3,3,Refresher
Paul,Oct 7 '22,3,4,Non-functional
Paul,Oct 7 '22,3,5,Functional
Paul,Oct 11 '22,4,1,Refresher
Paul,Oct 11 '22,4,2,Refresher
Paul,Oct 11 '22,4,3,Refresher
Paul,Oct 11 '22,4,4,Non-functional
Paul,Oct 11 '22,4,5,Functional
Paul,Oct 14 '22,5,1,Refresher
Paul,Oct 14 '22,5,2,Refresher
Paul,Oct 14 '22,5,3,Refresher
Paul,Oct 14 '22,5,4,Non-functional
Paul,Oct 14 '22,5,5,Functional
Paul,Oct 19 '22,6,1,Refresher
Paul,Oct 19 '22,6,2,Refresher
Paul,Oct 19 '22,6,3,Refresher
Paul,Oct 19 '22,6,4,Functional
Paul,Oct 19 '22,6,5,Non-functional
Paul,Oct 21 '22,7,1,Refresher
Paul,Oct 21 '22,7,2,Refresher
Paul,Oct 21 '22,7,3,Refresher
Paul,Oct 21 '22,7,4,Functional
Paul,Oct 21 '22,7,5,Non-functional
Paul,Oct 25 '22,8,1,Refresher
Paul,Oct 25 '22,8,2,Refresher
Paul,Oct 25 '22,8,3,Refresher
Paul,Oct 25 '22,8,4,Functional
Paul,Oct 25 '22,8,5,Non-functional
Pick,Oct 4 '22,1,1,Refresher
Pick,Oct 4 '22,1,2,Refresher
Pick,Oct 4 '22,1,3,Refresher
Pick,Oct 4 '22,1,4,Non-functional
Pick,Oct 4 '22,1,5,Functional
Pick,Oct 7 '22,2,1,Refresher
Pick,Oct 7 '22,2,2,Refresher
Pick,Oct 7 '22,2,3,Refresher
Pick,Oct 7 '22,2,4,Functional
Pick,Oct 7 '22,2,5,Non-functional
Pick,Oct 7 '22,3,1,Refresher
Pick,Oct 7 '22,3,2,Refresher
Pick,Oct 7 '22,3,3,Refresher
Pick,Oct 7 '22,3,4,Functional
Pick,Oct 7 '22,3,5,Non-functional
Pick,Oct 11 '22,4,1,Refresher
Pick,Oct 11 '22,4,2,Refresher
Pick,Oct 11 '22,4,3,Refresher
Pick,Oct 11 '22,4,4,Non-functional
Pick,Oct 11 '22,4,5,Functional
Pick,Oct 14 '22,5,1,Refresher
Pick,Oct 14 '22,5,2,Refresher
Pick,Oct 14 '22,5,3,Refresher
Pick,Oct 14 '22,5,4,Non-functional
Pick,Oct 14 '22,5,5,Functional
Pick,Oct 19 '22,6,1,Refresher
