Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Session,Trial Order,Date,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:19,ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k.avi,308.68,25,Fay,5,2,11222,Non-functional,Right box (front),Proximity,,STATE,185.991,190.83,4.839,,
ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:06,ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k.avi,318.76,25,Skipper,3,2,101922,Non-functional,Left box,Proximity,,STATE,188.027,189.277,1.25,,
ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:00,ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k.avi,338.92,25,Skipper,1,1,101122,Functional,Functional,Trial type,,STATE,189.39,239.967,50.577,,
ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:00,ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k.avi,338.92,25,Skipper,1,1,101122,Functional,Testing compartment,Compartment,,STATE,189.39,196.418,7.028,,
ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:00,ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k.avi,338.92,25,Skipper,1,1,101122,Functional,Arriving at start of trial,Movement,,STATE,189.39,190.57,1.18,,
ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:06,ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.19.22ESExpS3.MTS.re-encoded.1920px.800k.avi,318.76,25,Skipper,3,2,101922,Non-functional,Waiting compartment,Compartment,,STATE,189.874,199.826,9.952,,
ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:19,ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k.avi,308.68,25,Fay,5,2,11222,Non-functional,Food to end of trial,Time spent,,STATE,190.311,226.138,35.827,,
ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:00,ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k.avi,338.92,25,Skipper,1,1,101122,Functional,Solve to food,Time spent,,STATE,190.57,193.692,3.122,,
ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k - copy,30/01/2023 17:00,ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilitySkipper10.11.22ESExpS1.MTS.re-encoded.1920px.800k.avi,338.92,25,Skipper,1,1,101122,Functional,Right box (front),Proximity,,STATE,190.57,194.066,3.496,,
ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,30/01/2023 13:28,ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityRoku10.25.22ESExpS7.MTS.re-encoded.1920px.800k.avi,301.96,25,Roku,7,1,102522,Functional,Left box,Proximity,,STATE,190.706,192.584,1.878,,
ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:19,ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.2.22ESExpS5.MTS.re-encoded.1920px.800k.avi,308.68,25,Fay,5,2,11222,Non-functional,Midd box,Proximity,,STATE,190.83,191.181,0.351,,
