,Subject,Session,Trial,Condition,sum_peeking,Trial_Duration,Proportionpeeking,peeking_binary,Prop_peeking_reli,Peeking_binary_reli
243,Sunny,2,4,Functional,0,41.505,0,0,NA,NA
244,Sunny,2,5,Non-functional,0,38.775,0,0,NA,NA
245,Sunny,3,4,Non-functional,0,36.65,0,0,NA,NA
246,Sunny,3,5,Functional,0,42.45,0,0,NA,NA
247,Sunny,4,4,Functional,0,44.775,0,0,NA,NA
248,Sunny,4,5,Non-functional,0,39.49,0,0,NA,NA
249,Sunny,5,4,Functional,0,46.876,0,0,NA,NA
250,Sunny,5,5,Non-functional,0,37.566,0,0,NA,NA
251,Sunny,6,4,Non-functional,0,36.676,0,0,0,0
252,Sunny,6,5,Functional,0,42.626,0,0,0,0
253,Sunny,7,4,Functional,0,40.576,0,0,NA,NA
254,Sunny,7,5,Non-functional,0,36.35,0,0,NA,NA
255,Sunny,8,4,Non-functional,0,36.875,0,0,0,0
256,Sunny,8,5,Functional,0,41.124,0,0,0,0
257,Tai,1,4,Non-functional,0,36.075,0,0,NA,NA
258,Tai,1,5,Functional,0,42.451,0,0,NA,NA
259,Tai,2,4,Functional,2.49,43.621,0.057082598,1,NA,NA
260,Tai,2,5,Non-functional,0,36.25,0,0,NA,NA
261,Tai,3,4,Functional,0,41.484,0,0,NA,NA
262,Tai,3,5,Non-functional,0,36.882,0,0,NA,NA
263,Tai,4,4,Functional,0,41.75,0,0,NA,NA
264,Tai,4,5,Non-functional,0,35.8,0,0,NA,NA
265,Tai,5,4,Non-functional,0,35.828,0,0,NA,NA
266,Tai,5,5,Functional,0,38.435,0,0,NA,NA
267,Tai,6,4,Functional,0,42.065,0,0,0,0
268,Tai,6,5,Non-functional,0,36.75,0,0,0.026640053,1
269,Tai,7,4,Non-functional,0,36.503,0,0,NA,NA
270,Tai,7,5,Functional,0,43.007,0,0,NA,NA
271,Tai,8,4,Non-functional,0,36.4,0,0,NA,NA
272,Tai,8,5,Functional,4.6,42.315,0.108708496,1,NA,NA
273,Mali,5,4,Non-functional,NA,NA,NA,NA,0,0
274,Mali,5,5,Functional,NA,NA,NA,NA,0,0
