Observation id,Observation date,Media file,Total length,FPS,Subject,Session,Trial Order,Date,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s)
Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k,12/15/2022 16:25,D:/Explanation Seeking/Experiment/Mali/Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k.avi,406.12,25,Mali,3,2,112922,Non-functional,Arriving at start of trial,Movement,,STATE,261.41,262.76,1.35
Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k,12/15/2022 16:25,D:/Explanation Seeking/Experiment/Mali/Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k.avi,406.12,25,Mali,3,2,112922,Non-functional,Solve to food,Time spent,,STATE,262.76,267.36,4.6
Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k,12/15/2022 16:25,D:/Explanation Seeking/Experiment/Mali/Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k.avi,406.12,25,Mali,3,2,112922,Non-functional,Right box (front),Proximity,,STATE,262.76,267.885,5.125
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Left box,Proximity,,STATE,264.34,264.965,0.625
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Midd box,Proximity,,STATE,264.965,268.215,3.25
Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k,12/15/2022 16:25,D:/Explanation Seeking/Experiment/Mali/Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k.avi,406.12,25,Mali,3,2,112922,Non-functional,Food to end of trial,Time spent,,STATE,267.36,302.78,35.42
Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k,12/15/2022 16:25,D:/Explanation Seeking/Experiment/Mali/Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k.avi,406.12,25,Mali,3,2,112922,Non-functional,Midd box,Proximity,,STATE,267.885,268.26,0.375
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Fiddling with wood,Fiddling,,STATE,268.215,270.965,2.75
Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/15/2022 16:06,D:/Explanation Seeking/Experiment/Tai/Tai11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,379.24,25,Tai,8,2,112922,Non-functional,Right box (front),Proximity,,STATE,268.215,271.69,3.475
Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k,12/15/2022 16:25,D:/Explanation Seeking/Experiment/Mali/Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k.avi,406.12,25,Mali,3,2,112922,Non-functional,Left box,Proximity,,STATE,268.26,272.885,4.625
Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k,12/13/2022 15:19,D:/Explanation Seeking/Experiment/Sunny/Sunny11.29.22ESExpS8.MTS.re-encoded.1920px.800k.avi,395.08,25,Sunny,8,2,112922,No focal subject,Waiting compartment,Compartment,,STATE,269.86,345.785,75.925
Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k,12/15/2022 16:25,D:/Explanation Seeking/Experiment/Mali/Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k.avi,406.12,25,Mali,3,2,112922,Non-functional,Fiddling with wood,Fiddling,,STATE,273.785,275.102,1.317
Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k,12/15/2022 16:25,D:/Explanation Seeking/Experiment/Mali/Mali11.29.22ESExpS3.MTS.re-encoded.1920px.800k.avi,406.12,25,Mali,3,2,112922,Non-functional,Right box (front),Proximity,,STATE,273.785,289.058,15.273
